1,Ge.
2,Ex.
3,Le.
4,Nu.
5,De.
6,Jos.
7,Jud.
8,Ru.
9,1 S.
10,2 S.
11,1 K.
12,2 K.
13,1 Chr.
14,2 Chr.
15,Ezr.
16,Ne.
17,Est.
18,Jb.
19,Ps.
20,Pr.
21,Ec.
22,Song
23,Is.
24,Je.
25,Lam.
26,Eze.
27,Da.
28,Ho.
29,Joel
30,Am.
31,Obad.
32,Jona.
33,Mi.
34,Na.
35,Hab.
36,Zep.
37,Hag.
38,Zec.
39,Mal.
40,Mt.
41,Mk.
42,Lu.
43,Jn.
44,Ac.
45,Ro.
46,1 Co.
47,2 Co.
48,Ga.
49,Ep.
50,Ph.
51,Col.
52,1 Th.
53,2 Th.
54,1 Ti.
55,2 Ti.
56,Tit.
57,Phm.
58,He.
59,Ja.
60,1 Pe.
61,2 Pe.
62,1 Jn.
63,2 Jn.
64,3 Jn.
65,Jude
66,Re.
